,Organizations,About,Technology,Category,Topics,Count,Last Appeared
779,The GNU Project,GNU is a free software Operating System and a collection of other utilities,"c/c++,  javascript,  android,  python, scheme",Operating Systems,"http, operating systems, package managers, astronomy, reverse engineering",4,2020
780,The Honeynet Project,The Honeynet Project - R&D for Honeypot/Honeynet Technology and InfoSec Research,"c, python, django, c++, docker",Security,"fuzzing, network analysis, honeypot, hypervisor introspection, malware analysis",12,2021
781,The Java Pathfinder Team,JPF is a highly extensible Java virtual machine built for software verification,"javajava,  jvm,  android,  distributed systems",Programming Languages and Development Tools,"program analysis,  test input generation,  model checking,  symbolic execution,  verification of concurrent systems",8,2020
782,The Julia Language,A fresh approach to Technical Computing,"julia, julialang",Programming Languages and Development Tools,"machine learning, data science, scientific computing, numerical computing, technical computing",6,2021
783,The Libreswan Project,Encrypting the Internet with IKE and IPsec,"c, python, kvm, namespaces",Security,"security, vpn, ipsec, encryption, ikev2",5,2021
784,The Linux Foundation,A non-profit consortium dedicated to fostering the growth of Linux,"c, linux, c++, cups, ipp",Operating Systems,"kernel, automotive, printing, lsb, iio",12,2021
785,The LLVM Compiler Infrastructure,LLVM Compiler Infrastructure,"c/c++, llvm, clang, mlir",Programming Languages and Development Tools,"compilers, code analysis, debuggers",5,2021
786,The MacPorts Project,Open Source package manager for macOS,"tcl, html/javascript, frontend, vue.js, react.js",End User Applications,"package manager, mac os x, macos, command line, build tools",7,2018
787,The Mifos Initiative,End Poverty One Line of Code at a Time,"android, java, angular, mysql, spring",End User Applications,"fintech, mobile banking, cloud, big data, web",3,2020
788,The Monarch Initiative,An informatics platform for translational disease research,"semantic web, javascript, text mining, named entity recognition, ontologies",End User Applications,"embeddable widget, rare disease, data refinement",1,2016
789,The Mono Project,,,,,1,2010
790,The NetBSD Foundation,Of course it runs NetBSD,"c, shell script, make, bsd unix",Operating Systems,"kernel, packaging, userland, unix, bsd",10,2021
791,The NetBSD Project,,,,,1,2009
792,The ns-3 Network Simulator Project,ns-3 is a packet-level network simulator for research and education.,"c++, python 3",Science and Medicine,"simulation, emulation, network analysis",11,2021
793,The NTP Forum,,,,,1,2010
794,The OpenBSD Foundation,,,,,2,2015
795,The OpenCog Foundation,,,,,2,2015
796,The Open Motion Planning Library,,,,,1,2013
797,The OpenStack Foundation,,,,,1,2014
798,Theoretical Biophysics @ Humboldt University,,,,,1,2011
799,The Outercurve Foundation,,,,,1,2012
800,The Palisadoes Foundation,Helping community-based organizations grow by using better software,"javascript, mongodb, node.js, flutter, graphql",Social / Communications,"web development, cloud computing, social good, mobile apps, social impact",1,2021
801,The Perl Foundation,Devoted to the advancement of the Perl languages through discussion and code,"c, perl, regular expressions, perl6, perl5",Programming Languages and Development Tools,"web services, natural language understanding, functional programming, concurrency, programming languages and development tools",5,2019
802,The Postgres Operator,A project to create an open-sourced managed Postgresql service for Kubernetes,"postgresql, kubernetes, golang, operator, patroni",Data and Databases,"cloud, cloud native, databases, database services, cloud databases",1,2019
803,The Privly Foundation,,,,,2,2014
804,The Processing Foundation,Our goal is to empower people of all backgrounds to learn how to program.,"java,  javascript,  python,  android,  opengl",Programming Languages and Development Tools,"creative coding,  graphics,  web,  education,  design",5,2019
805,The Qt Project,The Qt Project co-ordinates the development of the Qt software framework.,"c++11, cpp, qt, qml, opengl",Programming Languages and Development Tools,"graphics, gis, maps, declarative language",1,2018
806,The R Project for Statistical Computing,R is a free software environment for statistical computing and graphics.,"javascript, c/c++, r-project, fortran",Programming Languages and Development Tools,"visualization, machine learning, data science, graphics, statistics",1,2021
807,The STE||AR Group,The STE||AR Group - Shaping a Scalable Future,"parallel processing, high performance computing, c++, cuda, opencl",Programming Languages and Development Tools,"runtime systems, parallel computing, high performance computing, hpx, gpu",3,2016
808,The Syslinux Project,,,,,1,2009
809,The syslog-ng project,Open source log management solution with over a million users worldwide.,"c, java, python, big data, rust",Security,"log management, message queue, data extraction, message correlation, continuous delivery",3,2016
810,The syslog-ng project.,Open source log management solution with over a million users worldwide.,"java, c/c++, big data, elasticsearch, rest",Security,"logging, log management, message queue, python",1,2018
811,The Terasology Foundation,Voxel world game/engine with a large focus on extensibility and developer tools,"java, opengl, gradle, kotlin, lwjgl",End User Applications,"voxel, games, ai, graphics / video / audio / virtual reality, game engines",3,2021
812,The Tor Project,"Anonymity, privacy, and anti-censorship software","c, javascript, golang, python, browser extensions",Security,"privacy, security, anonymity, anti-censorship, research",1,2016
813,The Tor Project/Electronic Frontier Foundation,,,,,1,2010
814,The Tor Project and EFF,,,,,1,2014
815,The Vega Project at the University of Washington,"Declarative formats & Applications for Creating, Saving & Sharing Visualizations","typescript, d3, vega, vega-lite, react",Web,"visualization, data-science",1,2019
816,The Vega Visualization Tools by the UW Interactive Data Lab,"Declarative formats & Applications for Creating, Saving & Sharing Visualizations","javascript, typescript, react, d3.js",Data and Databases,"data visualization, visualization grammar, data science, declarative language, plotting tools",1,2018
817,The Visualization Toolkit,,,,,1,2015
818,The Wine Project,"Wine runs Windows applications on Linux, BSD, Solaris, macOS and Android.","c,  opengl,  directx,  win32, vulkan",Other,"compatibility,  3d,  directx,  opengl, vulkan",9,2020
819,The Wiselib,,,,,3,2014
820,ThinkUp,,,,,2,2014
821,Thousand Parsec,,,,,2,2010
822,TianoCore,"A modern, feature-rich, cross-platform, open source implementation of UEFI","c, python, rust, golang, uefi",Operating Systems,"firmware, uefi, bootloader, edk2, open system firmware",3,2021
823,TikiWiki CMS/Groupware,,,,,1,2009
824,Tiled,"A free, easy to use and flexible 2D level editor.","qt, c++, git, github",End User Applications,"edit, editing, level, game, game development",1,2017
825,Timelab Technologies Ltd.,We help scientists understanding information in time-series,"python, javascript",End User Applications,"astronomy, algorithm prototyping/visualization, mathematics, time series",1,2016
826,TimVideos,"Software & hardware to recording + streaming conferences, meetings & usergroups.","python, verilog, fpga, vhdl, c",Graphics / Video / Audio / Virtual Reality,"hardware, embedded, video, fpga",1,2017
827,TimVideos.us,"Software & hardware for recording + streaming conferences, meetings, user groups","python, verilog, vhdl, c, fpga",Graphics / Video / Audio / Virtual Reality,"hardware,  embedded, video, fpga",5,2019
828,TLA+,"TLA+ is a formal specification language used to design, model and verify systems","java, tla+, eclipse, ocaml, smt",Programming Languages and Development Tools,"formal methods, algorithms",1,2018
829,Tokio,The asynchronous run-time for the Rust programming language.,"tokio_rs, rust",Programming Languages and Development Tools,"rust, networking, windows, concurrency",1,2019
830,Tor,Internet privacy and anonymity,"c,  python, javascript, c++",Security,"privacy,  anonymity,  counter-censorship, free-speech",2,2017
831,Tox,,,,,1,2015
832,Tungsten Fabric,"Secure software defined networking for any cloud, anywhere.","linux, kubernetes,  python, networking,  c/c++",Cloud,"software defined networking, routing, security, multicloud",1,2019
833,TurboGears,,,,,1,2009
834,Tux4Kids,,,,,5,2015
835,Twitter,,,,,3,2014
836,TYPO3 Association,,,,,5,2014
837,Ubuntu,,,,,1,2010
838,UCSC Xena,Helping biologists see the bigger picture in diverse cancer genomics data,"javascript,  python,  clojure,  react",Science and Medicine,"genomics, cancer research,  scientific visualization, bioinformatics",3,2019
839,Umit Project,,,,,3,2012
840,Unitex/GramLab,"Unitex/GramLab is an open source, multilingual corpus processing suite","java, c++",Programming Languages and Development Tools,"natural language processing, local grammars, finite state automata, corpus annotation, multilingual language resources",1,2016
841,Universal Subtitles,,,,,1,2011
842,University of Nebraska - Helikar Lab,,,,,1,2015
843,Unknown Horizons,,,,,1,2011
844,Unknown Horizons and FIFE,,,,,1,2012
845,"Urban Energy Systems Laboratory, Empa",HUES is a platform for modeling & analysis of distributed energy systems,"python, gis, fast fluid dynamics",Science and Medicine,"distributed energy systems, modeling & optimization, data portal",2,2017
846,Ushahidi,,,,,1,2010
847,Vert.x,Vert.x is a tool-kit for building reactive applications on the JVM.,"java, reactive, javascript, groovy, micro-services",Programming Languages and Development Tools,"micro services, high performance computing",1,2016
848,VideoLAN,Open Source Multimedia for Everyone,"c, machine learning, c++, audio, video codecs",End User Applications,"audio, video, network programming, video decode, multimedia",8,2021
849,VideoLAN / VLMC Project,"A non-linear video editor, based on VLC technology.","opengl, c++, c, assembly, qt",Graphics / Video / Audio / Virtual Reality,"video, multimedia, editor, editing, non-linear",1,2016
850,ViSP,Visual tracking and visual servoing library,c/c++,Graphics / Video / Audio / Virtual Reality,"robotics, computer vision",2,2018
851,Visualization Toolkit (VTK),,,,,2,2014
852,vitrivr,The multimedia search engine,"java, kotlin, tensorflow, angular, typescript",Data and Databases,"databases, web, machine learning, computer vision, multimedia retrieval",3,2021
853,Wayland,Wayland is a protocol for windowing systems on both desktops and embedded,"opengl, wayland, c, xml, kms",Graphics / Video / Audio / Virtual Reality,"graphics, window system, display, video",1,2016
854,webpack,webpack is a module bundler.," javascript, webpack",Programming Languages and Development Tools,web development,3,2020
855,Wikimedia,,,,,2,2014
856,Wikimedia Foundation,Global movement whose mission is to bring free educational content to the world,"python, javascript, html, php, css",Web,"semantic web, wikipedia, wikimedia, mediawiki, i18n",11,2021
857,Wine,,,,,1,2011
858,Wine (a project of Software Freedom Conservancy) ,,,,,1,2012
859,Wine Project,,,,,1,2013
860,WinLibre,,,,,1,2009
861,Wireshark,Wireshark is the world's foremost network protocol analyzer.," qt, c/c++,  lua, pcap, cmake",Security,"network monitoring, data visualization, network security",2,2020
862,WordPress,,,,,5,2014
863,WorldBrain - Verifying the Internet with Science,"Full-text search your history, bookmarks and all your apps.","reactjs,  javascript",Social / Communications,"fake-news, misinformation, search, digital knowledge",1,2017
864,WorldBrain.io - Verifying the Internet,Bookmarking extension that works like your brain - full-text search everything.,"react, javascript, browser extension, datproject",End User Applications,"search, fake-news, decentralization, misinformation, bookmarking",1,2018
865,WorldForge,,,,,6,2014
866,World Wide Web Consortium (W3C),,,,,1,2013
867,WSO2,Comprehensive and open source middleware platform that spans the breadth of SOA,"soa, middleware, java, distributed computing, web services",Other,"cloud, iot, security, micro services, api management",4,2017
868,wxWidgets,Library for creating portable native GUIs in C++,"c++, gtk+, win32, cocoa",Programming Languages and Development Tools,"cross-platform, desktop, gui",5,2017
869,X.Org,,,,,2,2010
870,X.Org Foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)","x11, opencl, opengl, wayland, vulkan",Graphics / Video / Audio / Virtual Reality,"graphics stack, 2d/3d graphics, windowing systems, testing/ci, gpu",9,2020
871,Xapian Search Engine Library,"Fast, scalable and flexible search","c++, unicode, swig, linux, golang",Data and Databases,"search, information retrieval, machine learning, linguistics, indexing",8,2020
872,XBMC,,,,,1,2013
873,XBMC Foundation,The ultimate entertainment center,"python, c/c++, github, mysql",Graphics / Video / Audio / Virtual Reality,"home theater, audio, video",4,2018
874,Xelerance Corporation,,,,,1,2009
875,Xen.org,,,,,2,2011
876,Xen Project,Bringing the power of virtualization everywhere,"linux, free/netbsd, asm/c/c++, qemu, ocaml",Cloud,"virtualization, security, cloud computing, unikernels, embedded/automotive",2,2017
877,Xfce,Fast and lightweight Gtk3 desktop environment for Linux and BSD,"c, python, javascript, gtk, vala",End User Applications,"gui, desktop environment",1,2021
878,Xi Editor,A modern text editor with a backend written in Rust.,"rust, swift",End User Applications,"ide, end user application, text editor",1,2019
879,Xi Editor Project,A modern text editor with a backend written in Rust.,"rust, swift",End User Applications,"text editing, ide",1,2018
880,Xiph.Org Foundation,Open-source and royalty free multimedia,"rust, assembly, arm, x86, c language",Graphics / Video / Audio / Virtual Reality,"video, video encode, video decode, multimedia",3,2021
881,XMMS2,,,,,2,2010
882,XMMS2 - X-platform Music Multiplexing System 2,,,,,1,2011
883,XMPP Standards Foundation,Secure and federated communication with open standards," java, xmpp, vala, webrtc,  lua",Social / Communications,"instant messaging, realtime communication, voip",6,2020
884,XMPP Standards Foundation (XSF),Secure and federated communication with open standards,"asynchronous i/o, lua, xmpp, java, python 3",Social / Communications,"instant messaging, realtime communications, machine-to-machine, internet of things, xmpp",1,2019
885,xpra,"screen for X11, remote access for MS Windows and Mac OS","python, javascript, c",Graphics / Video / Audio / Virtual Reality,"remote-access, video, desktop, seamless",1,2019
886,xpra.org,"Screen for X11, remote desktop platform.","python, javascript, compression, remote access, cython",End User Applications,"graphics, remote access",1,2018
887,xrdesktop,XR for the Linux Desktop,"c, vulkan, wayland, glib, openxr",Graphics / Video / Audio / Virtual Reality,"virtual reality, graphics, real time, 3dui, window management",1,2021
888,XWiki,The Advanced Open Source Enterprise Wiki,"javascript, java, html5, css3, velocity",Web,"web development, wiki, platform, web applications, structured data",9,2021
889,YafaRay (Yet Another Free Raytracer),,,,,1,2010
890,Zenodo,A free and open digital archive for the long-tail of science.,"python, postgresql, flask, angularjs, elasticsearch",Science and Medicine,"content management, web, open science, digital library, machine learning",1,2017
891,Zulip,"Powerful, modern, open source team chat, complete with apps for every platform.","python, django, typescript, react native, electron",Social / Communications,"mobile, great developer tooling, chat, visual design, teaching quality codebase",4,2021
892,Zulip Open Source Project,"Powerful, modern, open source team chat, complete with apps for every platform.","python, react native, django, javascript, electron",Social / Communications,"bots, mobile, visual design, chat, great developer tooling",2,2019
893,ZynAddSubFX,An open source musical software synthesizer with a wide range of possibilities," c/c++, ruby, midi, open-sound-control, opengl",Graphics / Video / Audio / Virtual Reality,"audio, digital signal processing,  visualization, music, user experience",1,2019
894,"Ã‰cole Polytechnique FÃ©dÃ©rale de Lausanne, Scala team",,,,,1,2010
